City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
357,jiayuguan,39.8167,98.3,257.23,53,93,2.41,CN,1674413933
358,salmas,38.1973,44.7653,272.03,63,100,0.47,IR,1674413934
359,fortuna,40.5982,-124.1573,283.14,69,0,6.69,US,1674413794
360,huilong,31.8111,121.655,279.78,94,100,4.42,CN,1674413934
361,paamiut,61.994,-49.6678,268.2,82,100,7.0,GL,1674413935
362,la ronge,55.1001,-105.2842,273.29,86,75,6.17,CA,1674413935
363,itarema,-2.9248,-39.9167,301.87,65,21,5.6,BR,1674413935
364,banff,51.1762,-115.5698,269.72,74,78,2.06,CA,1674413765
365,orbetello,42.4408,11.2196,278.08,85,18,3.15,IT,1674413936
366,abu zabad,12.35,29.25,295.57,11,70,5.78,SD,1674413936
367,minuri,16.535,121.8574,293.85,96,89,0.69,PH,1674413937
